ID,Record,RT,Time,Stimulate,Fatigue,Hunger,busy(0)/light(1),illness,Sleep,Protocol,MEQ
1,1,0.437,,0,4,4,1,0,6,1,0
1,2,0.366,,1,3,4,1,0,6,0,0
1,3,0.345,,0,5,4,1,0,6,1,0
1,4,0.415,,0,6,3,1,0,6,1,0
1,5,0.366,,0,2,4,0,0,10,1,0
1,6,0.31,,1,3,4,0,0,10,1,0
1,7,0.396,,0,3,5,0,0,10,1,0
1,8,0.316,,0,5,3,0,0,10,1,0
2,1,0.433,,0,4,3,0,0,8,1,0
2,2,0.385,,0,6,5,0,0,8,1,0
2,3,0.402,,0,3,8,0,0,8,1,0
2,4,0.386,,0,6,4,0,0,8,1,0
2,5,0.376,,0,2,3,1,0,10,1,0
2,6,0.348,,0,6,4,1,0,10,1,0
2,7,0.359,,0,5,9,1,0,10,1,0
2,8,0.379,,0,6,3,1,0,10,1,0
3,1,0.376,,0,2,4,0,0,7.5,1,0
3,2,0.378,,0,3,7,0,0,7.5,1,0
3,3,0.357,,0,4,5,0,0,9.5,1,0
3,4,0.355,,0,6,4,0,0,9.5,1,0
3,5,0.384,,0,3,4,1,0,8,1,0
3,6,0.363,,0,2,6,1,0,10,1,0
3,7,0.365,,0,3,8,1,0,10,1,0
3,8,0.343,,0,4,5,1,0,10,1,0
4,1,0.373,,0,3,3,0,0,7.5,1,0
4,2,0.357,,0,2,4,0,0,7.5,1,0
4,3,0.47,,0,4,5,0,0,7.5,1,0
4,4,,,,,,0,0,,,0
4,5,0.375,,0,3,4,1,0,8,1,0
4,6,0.34,,0,2,5,1,0,8,1,0
4,7,0.375,,0,3,4,1,0,8,1,0
4,8,0.36,,0,2,5,1,0,8,1,0
5,1,0.394,,0,3,3,0,0,10,1,-1
5,2,0.358,,0,2,4,0,0,10,1,-1
5,3,0.388,,0,1,5,0,0,10,1,-1
5,4,0.47,,0,6,7,0,0,10,1,-1
5,5,0.364,,0,3,3,1,0,12,1,-1
5,6,0.344,,1,4,2,1,0,12,1,-1
5,7,0.352,,0,3,5,1,0,12,1,-1
5,8,0.374,,0,5,7,1,0,12,1,-1
6,1,0.41,,0,3,5,0,0,7,1,-1
6,2,0.416,,0,3,6,0,0,7,1,-1
6,3,0.403,,0,2,6,0,0,7,1,-1
6,4,0.384,,0,5,5,0,0,7,1,-1
6,5,0.419,,0,5,5,1,0,4.6,1,-1
6,6,0.385,,0,2,6,1,0,6,1,-1
6,7,0.376,,1,3,7,1,0,6,1,-1
6,8,0.397,,0,5,5,1,0,6,1,-1
7,1,0.433,,0,3,5,0,,9,1,0
7,2,0.375,,1,2,4,0,,9,1,0
7,3,0.38,,0,1,3,0,,9,1,0
7,4,0.411,,0,4,6,0,,9,1,0
7,5,0.455,,0,3,4,1,,7,1,0
7,6,0.464,,0,1,7,1,,7,1,0
7,7,0.386,,1,2,6,1,,7,1,0
7,8,0.403,,1,5,4,1,,7,1,0
8,1,0.707,,0,3,4,0,0,8,1,-1
8,2,0.736,,0,1,4,0,0,8,1,-1
8,3,0.701,,0,1,4,0,0,8,1,-1
8,4,0.702,,0,4,5,0,0,8,1,-1
8,5,0.699,,0,4,5,1,0,8,1,-1
8,6,0.68,,0,2,4,1,0,8,1,-1
8,7,0.719,,0,1,3,1,0,8,1,-1
8,8,0.849,,0,5,4,1,0,8,1,-1
9,1,0.291,,1,3,5,0,1,8,1,0
9,2,0.237,,0,3,6,0,1,8,1,0
9,3,0.193,,0,4,7,0,1,8,1,0
9,4,0.289,,0,5,5,0,1,8,1,0
9,5,0.335,,0,3,4,1,0,8,1,0
9,6,0.311,,1,4,6,1,0,8,1,0
9,7,0.274,,1,5,5,1,0,8,1,0
9,8,0.314,,0,5,6,1,0,8,1,0
10,1,0.406,,0,2,3,0,0,7.5,1,0
